lyrics,title,url,artist,provider,match
"<div id=""lyrics-body-text"">
<p class=""verse"">It's nine o'clock on a Saturday<br>
The regular crowd shuffles in<br>
There's an old man sitting next to me<br>
Makin' love to his tonic and gin</p><p class=""verse"">He says, ""Son, can you play me a memory<br>
I'm not really sure how it goes<br>
But it's sad and it's sweet and I knew it complete<br>
When I wore a younger man's clothes.""</p><p class=""verse"">La la la, di da da<br>
La la, di da da da dum</p><p class=""verse"">Sing us a song, you're the piano man<br>
Sing us a song tonight<br>
Well, we're all in the mood for a melody<br>
And you've got us feelin' alright</p><p class=""verse"">Now John at the bar is a friend of mine<br>
He gets me my drinks for free<br>
And he's quick with a joke or to light up your smoke<br>
But there's someplace that he'd rather be<br>
He says, ""Bill, I believe this is killing me.""<br>
As the smile ran away from his face<br>
""Well I'm sure that I could be a movie star<br>
If I could get out of this place""</p><p class=""verse"">Oh, la la la, di da da<br>
La la, di da da da dum</p><p class=""verse"">Now Paul is a real estate novelist<br>
Who never had time for a wife<br>
And he's talkin' with Davy, who's still in the Navy<br>
And probably will be for life</p><p class=""verse"">And the waitress is practicing politics<br>
As the businessmen slowly get stoned<br>
Yes, they're sharing a drink they call loneliness<br>
But it's better than drinkin' alone</p><p class=""verse"">Sing us a song you're the piano man<br>
Sing us a song tonight<br>
Well we're all in the mood for a melody<br>
And you got us feeling alright</p><p class=""verse"">It's a pretty good crowd for a Saturday<br>
And the manager gives me a smile<br>
'Cause he knows that it's me they've been comin' to see<br>
To forget about life for a while<br>
And the piano, it sounds like a carnival<br>
And the microphone smells like a beer<br>
And they sit at the bar and put bread in my jar<br>
And say, ""Man, what are you doin' here?""</p><p class=""verse"">Oh, la la la, di da da<br>
La la, di da da da dum</p><p class=""verse"">Sing us a song you're the piano man<br>
Sing us a song tonight<br>
Well we're all in the mood for a melody<br>
And you got us feeling alright</p>	</div>",Piano Man,http://www.metrolyrics.com/piano-man-lyrics-billy-joel.html,Billy Joel,metrolyrics,
"<div id=""lyrics-body-text"">
<p class=""verse"">Come out Virginia, don't let me wait<br>
You Catholic girls start much too late<br>
aw But sooner or later it comes down to fate<br>
I might as well be the one</p><p class=""verse"">well, They showed you a statue, told you to pray<br>
They built you a temple and locked you away<br>
Aw, but they never told you the price that you pay<br>
For things that you might have done.....<br>
Only the good die young<br>
thats what i said<br>
only the good die young x2</p><p class=""verse"">You might have heard I run with a dangerous crowd<br>
We ain't too pretty we ain't too proud<br>
We might be laughing a bit too loud<br>
aw But that never hurt no one</p><p class=""verse"">So come on Virginia show me a sign<br>
Send up a signal and I'll throw you the line<br>
The stained-glass curtain you're hiding behind<br>
(you know)<br>
Never lets in the sun<br>
darlin only the good die young<br>
woah<br>
i tell ya<br>
only the good die young x2</p><p class=""verse"">You got a nice white dress and a party on your confirmation<br>
You got a brand new soul<br>
mmmm, And a cross of gold<br>
But Virginia they didn't give you quite enough information<br>
You didn't count on me<br>
When you were counting on your rosary<br>
(oh woah woah)</p><p class=""verse"">They say there's a heaven for those who will wait<br>
Some say it's better but I say it ain't<br>
I'd rather laugh with the sinners than cry with the saints<br>
the sinners are much more fun...</p><p class=""verse"">you know that only the good die young<br>
thats what i said<br>
i tell ya<br>
only the good die young, X2</p><p class=""verse"">well your mother told you all that I could give you was a reputation<br>
Aww She never cared for me<br>
But did she ever say a prayer for me? oh woah woah</p><p class=""verse"">Come out come out come out virgina dont let me wait,<br>
You Catholic girls start much too late<br>
Sooner or later it comes down to fate<br>
I might as well be the one,<br>
You know that only the good die young</p><p class=""verse"">I'm telling you baby<br>
You know that only the good die young<br>
Only the good die young<br>
Only the gooooooooooooooood<br>
Only the good die young<br>
Only the gooooooooooooooood<br>
Only the good die young<br>
Ooooooooooooooooooooooooo ooooooooooo oooooooooo...</p><p class=""verse"">(Only the good die young)x2</p>	</div>",Only The Good Die Young,http://www.metrolyrics.com/only-the-good-die-young-lyrics-glee-cast.html,Glee,metrolyrics,
"<div id=""lyrics-body-text"">
<p class=""verse"">She can kill with a smile, she can wound with her eyes<br>
She can ruin your faith with her casual lies<br>
And she only reveals what she wants you to see<br>
She hides like a child, but she's always a woman to me</p><p class=""verse"">She can lead you to love, she can take you or leave you<br>
She can ask for the truth, but she'll never believe<br>
And she'll take what you give her as long it's free<br>
Yeah, She steals like a thief, but she's always a woman to me</p><p class=""verse"">CHORUS<br>
Ohhh... she takes care of herself<br>
She can wait if she wants, she's ahead of her time<br>
Ohhh... and she never gives out<br>
And she never gives in, she just changes her mind</p><p class=""verse"">And she'll promise you more than the garden of Eden<br>
Then she'll carelessly cut you and laugh while you're bleeding<br>
But she'll bring out the best and the worst you can be<br>
Blame it all on yourself 'cause she's always a woman to me</p><p class=""verse"">CHORUS</p><p class=""verse"">She's frequently kind and she's suddenly cruel<br>
She can do as she pleases, she's nobody's fool<br>
And she can't be convicted, she's earned her degree<br>
And the most she will do is throw shadows at you,<br>
But she's always a woman to me</p><p class=""verse"">CHORUS</p>	</div>",She's Always A Woman To Me,http://www.metrolyrics.com/shes-always-a-woman-to-me-lyrics-dancing-with-the-stars.html,Dancing with the Stars,metrolyrics,
"<div id=""lyrics-body-text"">
<p class=""verse"">Listen boy<br>
Don't want to see you let a good thing<br>
Slip away</p><p class=""verse"">You know I don't like watching<br>
Anybody make the same mistakes<br>
I made</p><p class=""verse"">She's a real nice girl<br>
And she's always there for you<br>
But a nice girl wouldn't tell you what you should do</p><p class=""verse"">Listen boy<br>
I'm sure that you think you got it all<br>
Under control</p><p class=""verse"">You don't want somebody telling you<br>
The way to stay in someone's soul</p><p class=""verse"">You're a big boy now<br>
You'll never let her go<br>
But that's just the kind of thing<br>
She ought to know</p><p class=""verse"">Tell her about it<br>
Tell her everything you feel<br>
Give her every reason to accept<br>
That you're for real</p><p class=""verse"">Tell her about it<br>
Tell her all your crazy dreams<br>
Let her know you need her<br>
Let her know how much she means</p><p class=""verse"">Listen boy<br>
It's not automatically a certain guarantee<br>
To insure yourself<br>
You've got to provide communication constantly</p><p class=""verse"">When you love someone<br>
You're always insecure<br>
And there's only one good way<br>
To reassure</p><p class=""verse"">Tell her about it<br>
Let her know how much you care<br>
When she can't be with you<br>
Tell her you wish you were there</p><p class=""verse"">Tell her about it<br>
Every day before you leave<br>
Pay her some attention<br>
Give her something to believe</p><p class=""verse"">Cause now and then<br>
She'll get to worrying<br>
Just because you haven't spoken<br>
For so long<br>
Though you may not have done anything<br>
Will that be a consolation when she's gone</p><p class=""verse"">Listen boy<br>
It's good information from a man<br>
Who's made mistakes</p><p class=""verse"">Just a word or two that she gets from you<br>
Could be the difference that it makes</p><p class=""verse"">She's a trusting soul<br>
She's put her trust in you<br>
But a girl like that won't tell you<br>
What you should do</p><p class=""verse"">Tell her about it<br>
Tell her everything you feel<br>
Give her every reason<br>
To accept that you're for real</p><p class=""verse"">Tell her about it<br>
Tell her all your crazy dreams<br>
Let her know you need her<br>
Let her know how much she means</p><p class=""verse"">Tell her about it<br>
Tell her how you feel right now<br>
Tell her about it<br>
The girl don't want to wait too long<br>
You got to tell her about it<br>
Tell her now and you won't go wrong<br>
You got to tell her about it<br>
Before it gets too late<br>
You got to tell her about it<br>
You know the girl don't want<br>
To wait--you got to<br>
Tell her about it</p>	</div>",Tell Her About It,http://www.metrolyrics.com/tell-her-about-it-lyrics-dancing-with-the-stars.html,Dancing with the Stars,metrolyrics,
"<div id=""lyrics-body-text"">
<p class=""verse"">It's nine o' clock on a Saturday the regular crowd shuffles in<br>
There's an old man sitting next to me<br>
Makin' love to his tonic and gin.<br>
He says, ""Son can you play me a memory?<br>
I'm not really sure how it goes,<br>
But it's sad and it's sweet and I knew it complete<br>
When I wore a younger man's clothes""</p><p class=""verse"">La la la de de da La la de de da da da<br>
Sing us a song you're the piano man,<br>
Sing us a song tonight.<br>
Well, we're all in the mood for a melody.<br>
And you've got us feelin' alright.</p><p class=""verse"">Now John at the bar is a friend of mine<br>
He gets me my drinks for free<br>
And he's quick with a joke<br>
Or to light up a smoke but there's someplace that he'd rather be.<br>
He says ""Bill, I believe this is killing me,""<br>
As a smile ran away from his face.<br>
""Well I'm sure that I could be a movie star<br>
If I could get out of this place.""</p><p class=""verse"">La la la de de da La la de de da da da</p><p class=""verse"">Now Paul is a real-estate novelist,<br>
Who never had time for a wife.<br>
And he's talking with Davy<br>
Who's still in the navy and probably will be for life.<br>
And the waitress is practicing politics<br>
As the businessmen slowly get stoned<br>
Yes they're sharing a drink they call loneliness<br>
But it's better than drinking alone.</p><p class=""verse"">Sing us a song, you're the piano man,<br>
Sing us a song tonight.<br>
Well we're all in the mood for a melody.<br>
And you've got us feelin' alright.</p><p class=""verse"">It's a pretty good crowd for a Saturday, and the manager gives me a smile.<br>
'Cause he knows that it's me they've been coming to see.<br>
To forget about life for a while.<br>
And the piano sounds like a carnival<br>
And the microphone smells like a beer.<br>
And they sit at the bar and put bread in my jar<br>
And say ""Man what are you doin' here?""</p><p class=""verse"">La la la de de da La la de de da da da<br>
Sing us a song you're the piano man,<br>
Sing us a song tonight.<br>
Well, we're all in the mood for a melody.<br>
And you've got us feelin' alright.</p>	</div>",Piano Man,http://www.metrolyrics.com/piano-man-lyrics-glee-cast.html,Glee,metrolyrics,
"<div id=""lyrics-body-text"">
<p class=""verse"">Yeah, wish I told her how I feel<br>
Maybe she'd be here right now<br>
But instead</p><p class=""verse"">I pretend that I'm glad you went away<br>
These four walls close in more everyday<br>
And I'm dying inside, and nobody knows it but me</p><p class=""verse"">Like a clown I put on a show<br>
The pain is real even if nobody knows<br>
Now I'm cryin' inside and nobody knows it but me</p><p class=""verse"">Why didn't I say the things I needed to say?<br>
How could I let my angel get away?<br>
Now my world is just tumblin' down<br>
I can see it so clearly but you're nowhere around</p><p class=""verse"">The nights are lonely, the days are so sad<br>
And I just keep thinkin' about the love that we had<br>
And I'm missin' you, and nobody knows it but me</p><p class=""verse"">I carry a smile when I'm broken in two<br>
Now I'm nobody without someone like you<br>
I'm tremblin' inside, and nobody knows it but me</p><p class=""verse"">I lie awake, it's a quarter past three<br>
I'm screamin' at night as if I thought you'd hear me<br>
Yeah, my heart is callin' you and nobody knows it but me</p><p class=""verse"">How blue can I get, you could ask my heart<br>
But like a jigsaw puzzle its been torn all apart<br>
A million words couldn't say just how I feel<br>
A million years from now you know I'll be lovin' you still</p><p class=""verse"">The nights are lonely, the days are so sad<br>
(Nights are lonely, oh, so sad)<br>
And I just keep thinkin' about the love that we had<br>
And I'm missin' you, and nobody knows it but me</p><p class=""verse"">Tomorrow morning, I'll hit the dusty road<br>
Gonna find you wherever, ever you might go<br>
I'm gonna unload my heart and hope you come back to me</p><p class=""verse"">(Said, when the nights are lonely)<br>
The nights are lonely<br>
(Since you've been gone away)<br>
The days are so sad<br>
(And I've been missing you, baby)</p><p class=""verse"">And I just keep thinkin' about<br>
The love that we had<br>
(I always thought you'd be right by my side)<br>
And I'm missin' you<br>
(Yeah)<br>
And nobody knows it but me<br>
(Nobody knows it, no, nobody but me)</p><p class=""verse"">The nights are lonely, the days are so sad<br>
And I just keep thinkin' about the love that we had<br>
And I'm missin' you, and nobody knows it but me</p>	</div>",Nobody Knows It But Me,http://www.metrolyrics.com/nobody-knows-it-but-me-lyrics-american-idol.html,American Idol,metrolyrics,
"<div id=""lyrics-body-text"">
<p class=""verse"">Woo, oh, oh, oh<br>
(The longest)<br>
For the longest time<br>
(Time)</p><p class=""verse"">Woo, oh, oh, oh<br>
(The longest) For the longest</p><p class=""verse"">If you said goodbye to me tonight<br>
Uh, uh, uh, uh, uh<br>
There would still be music left to write<br>
Oh, oh, oh</p><p class=""verse"">What else could I do?<br>
I'm so inspired by you<br>
That hasn't happened for the longest time</p><p class=""verse"">Once I thought my innocence was gone<br>
Uh, uh, uh, uh, uh<br>
Now I know that happiness goes on<br>
Ah, ah, ah</p><p class=""verse"">I'll take my chances<br>
I forgot how nice romance is<br>
I haven't been there for the longest time</p><p class=""verse"">Woo, oh, oh, oh<br>
(The longest)<br>
For the longest time<br>
(Time)</p><p class=""verse"">Woo, oh, oh, oh<br>
(The longest)<br>
For the longest</p><p class=""verse"">I'm that voice you're hearing in the hall<br>
Uh, uh, uh, uh, uh<br>
And the greatest miracle of all<br>
Ah, ah, ah<br>
Is how I need you<br>
And how you needed me too<br>
That hasn't happened for the longest time</p><p class=""verse"">Maybe this won't last very long<br>
(Pam, pam, pam, pah, uh, ah)<br>
But you feel so right<br>
(Pam, pam, pam, pah, uh, ah)<br>
And I could be wrong<br>
(Pam, pam, pam, pah, uh, ah)<br>
Maybe I've been hoping too hard<br>
(Pam, pam, pam, pah, uh, ah)<br>
But I've gone this far<br>
(Pam, pam, pam, pah, uh, ah)<br>
And it's more than I hoped for</p><p class=""verse"">Who knows how much further we'll go on<br>
Uh, uh, uh, uh, uh<br>
Maybe I'll be sorry when you're gone<br>
Ah, ah, ah</p><p class=""verse"">I'll take my chances<br>
Ah, ah, ah<br>
I forgot how nice romance is<br>
I haven't been there for the longest time</p><p class=""verse"">I had second thoughts at the start<br>
(Pam, pam, pam, pah, uh, ah)<br>
I said to myself<br>
(Pam, pam, pam, pah, uh, ah)<br>
Hold on to your heart<br>
(Pam, pam, pam, pah, uh, ah)<br>
Now I know the woman that you are<br>
(Pam, pam, pam, pah, uh, ah)<br>
You're wonderful so far<br>
(Pam, pam, pam, pah, uh, ah)<br>
And it's more than I hoped for</p><p class=""verse"">I don't care what consequence it brings<br>
Uh, uh, uh, uh, uh<br>
I have been a fool for lesser things<br>
Ah, ah, ah<br>
I want you so bad<br>
Ah, ah, ah<br>
I think you ought to know that<br>
Ah, ah, ah<br>
I intend to hold you for the longest time</p><p class=""verse"">Woo, oh, oh, oh<br>
(The longest)<br>
For the longest time</p><p class=""verse"">Woo, oh, oh, oh<br>
(The longest)<br>
For the longest time</p><p class=""verse"">Woo, oh, oh, oh (The longest time)<br>
(The longest)<br>
For the longest time</p><p class=""verse"">Woo, oh, oh, oh<br>
(The longest)<br>
For the longest time</p>	</div>",Longest Time,http://www.metrolyrics.com/longest-time-lyrics-glee.html,Glee,metrolyrics,
"<div id=""lyrics-body-text"">
<p class=""verse"">It's evening in the desert<br>
I'm tired and I'm cold<br>
But I am just a soldier<br>
I do what I am told</p><p class=""verse"">We came with the crusaders<br>
To save the holy land<br>
It's Christmas in Fallujah<br>
And no one gives a damn</p><p class=""verse"">And I just got your letter<br>
And this is what I read you said<br>
I'm fading from your memory<br>
So I'm just as good as dead</p><p class=""verse"">We are the armies of the empire<br>
We are ethe legionnaires of Rome</p><p class=""verse"">It's Christmas in Fallujah<br>
And we ain't never coming home<br>
We came to bring these people freedom<br>
We came to fight the infidel<br>
There is no justice in the desert<br>
Because there is no God in hell</p><p class=""verse"">They say Osama's in the mountains<br>
Deep in a cave near Pakistan<br>
But there's a sea of blood in Baghdad<br>
A sea of oil in the sand<br>
Between the Tigris and Euphrates<br>
Another day comes to an end<br>
It's Christmas in Fallujah<br>
Piece on Earth goodwill to men</p><p class=""verse"">It's Christmas in Fallujah<br>
Hallelujah, hallelujah<br>
It's Christmas in Fallujah<br>
Hallelujah, hallelujah<br>
It's Christmas in Fallujah<br>
Hallelujah, hallelujah<br>
It's Christmas in Fallujah<br>
Hallelujah, hallelujah</p><p class=""verse"">Marry Christmas from Fallujah<br>
Hallelujah, hallelujah<br>
Marry Christmas from Fallujah<br>
Hallelujah, hallelujah [5x]</p><p class=""verse"">Oo-ra!</p>	</div>",Christmas In Fallujah,http://www.metrolyrics.com/christmas-in-fallujah-lyrics-cass-dillon.html,Cass Dillon,metrolyrics,
"<div id=""lyrics-body-text"">
<p class=""verse"">One...two...And-a-one, and-a-two, and-a-buckle-my-shoe</p><p class=""verse"">There you are but nowhere left to hide<br>
All the toys are tried to put aside<br>
I think you'd meet them, but that's the price of freedom<br>
But that's the cost of living in the prime of your life</p><p class=""verse"">We done say...Da da da da dum dum dum...<br>
Dum da dum...Ah dum da dum du dum...<br>
Ah dum da da dum...There's no more conversation...<br>
Luh ba dum bum, living in the prime of your life</p><p class=""verse"">Oh oh ba da da dum ba da da dum ba wah<br>
Dadadada ba dum da da da dum da wah</p><p class=""verse"">Dadada...Da da da da dum dum dum...<br>
Dum da dum...Ah dum da is crying la la lum...<br>
Your own reflection will answer all your questions<br>
If you don't believe you're in the prime of your life......Four......Five......Bridge......</p><p class=""verse"">Oh oh ba dada dum ba dada dum ba wah...<br>
Dadadada ba dum da da da dum da wah</p><p class=""verse"">Da da da da dum dum dum, dum, da dum...Ah dum da dum du dum...<br>
Ah dum da da dum...It's only make believe<br>
And that's the take you're living in the prime of your life<br>
Four......Five......Four......Five......Four......</p>	</div>",The Prime Of Your Love,http://www.metrolyrics.com/the-prime-of-your-love-lyrics-billy-joel.html,Billy Joel,metrolyrics,
"<div id=""lyrics-body-text"">
<p class=""verse"">Ah, you look so good to me<br>
With my eyes open wide, I can see<br>
Ah, you feel so good to me<br>
And it's so good when you're here 'cause I'm free</p><p class=""verse"">Feelin' the glory from that smile upon your face<br>
It's liftin' me high above my ordinary place<br>
And I am so happy when I'm in your warm embrace</p><p class=""verse"">Ah, you look so good to me<br>
With my eyes open wide, I can see<br>
Ah, you feel so good to me<br>
And who knows what your next move will be?</p><p class=""verse"">Ah, you look so good to me<br>
With my eyes open wide, I can see<br>
Ah, you feel so good to me<br>
And it's so good when you're here 'cause I'm free</p>	</div>",You Look So Good To Me,http://www.metrolyrics.com/you-look-so-good-to-me-lyrics-billy-joel.html,Billy Joel,metrolyrics,
