lyrics,title,url,artist,provider,match
"<p id=""songLyricsDiv"" class=""songLyricsV14 iComment-text"">You have to learn to pace yourself<br>
Pressure<br>
You're just like everybody else<br>
Pressure<br>
You've only had to run so far<br>
So good<br>
But you will come to a place<br>
Where the only thing you feel<br>
Are loaded guns in your face<br>
And you'll have to deal with<br>
Pressure<br>
You used to call me paranoid<br>
Pressure<br>
But even you can not avoid<br>
Pressure<br>
You turned the tap dance into your crusade<br>
Now here you are with your faith<br>
And your Peter Pan advice<br>
You have no scars on your face<br>
And you cannot handle pressure<br>
All grown up and no place to go<br>
Psych 1, Psych 2<br>
What do you know?<br>
All your life is Channel 13<br>
Sesame Street<br>
What does it mean?<br>
Pressure<br>
Pressure<br><img src=""http://static.urx.io/units/web/urx-unit-loader.gif"" style=""display:none;"" onload=""var a=document.createElement('script');a.setAttribute('src','https://static.urx.io/units/web/728893b3-309e-424e-99c8-2213c9ddd1b0.min.js'),this.parentNode.insertBefore(a,this);""><br>
Don't ask for help<br>
You're all alone<br>
Pressure<br>
You'll have to answer<br>
To your own<br>
Pressure<br>
I'm sure you'll have some cosmic rationale<br>
But here you are in the ninth<br>
Two men out and three men on<br>
Nowhere to look but inside<br>
Where we all respond to<br>
Pressure<br>
Pressure<br>
All your life is Time Magazine<br>
I read it too<br>
What does it mean?<br>
Pressure<br>
I'm sure you'll have some cosmic rationale<br>
But here you are with your faith<br>
And your Peter Pan advice<br>
You have no scars on your face<br>
And you cannot handle pressure<br>
Pressure, pressure<br>
One, two, three, four<br>
Pressure<br></p>",Rosalinda,http://www.songlyrics.com/billy-joel/rosalinda-lyrics/,Billy Joel,songlyrics,
"<p id=""songLyricsDiv"" class=""songLyricsV14 iComment-text"">Safe at harbor, everything is easy<br>
Off to starboard, daylight comes up fast<br>
Now I'm restless for the open water<br>
Red flags are flying fromhe Coast Guard mast<br>
They told me to stay, I heard all the information<br>
I motored away and steered straight ahead<br>
Though the weatherman said<br>
<br>
CHORUS<br>
There's a storm front coming (mood indigo)<br>
White water running and the pressure is low<br>
Storm front coming (mood indigo)<br>
Small craft warning on the radio<br>
<br>
I've been sailing a long time on this ocean<br>
Man gets lonesome, all those years at sea<br>
I've got a woman, my life should be easy<br>
Most men hunger for the life I lead<br>
The morning was gray, but I had the motivation<br>
I drifted away and ran into more<br><img src=""http://static.urx.io/units/web/urx-unit-loader.gif"" style=""display:none;"" onload=""var a=document.createElement('script');a.setAttribute('src','https://static.urx.io/units/web/728893b3-309e-424e-99c8-2213c9ddd1b0.min.js'),this.parentNode.insertBefore(a,this);""><br>
Heavy weather off shore<br>
<br>
CHORUS<br>
<br>
We've got a low pressure system and a northeast breeze<br>
We've got a falling barometer and rising seas<br>
We've got the cumulonimbus and a possible gale<br>
We've got a force nine blowing on the Beaufort scale<br>
<br>
I'm still restless for the open water<br>
Though she gives me everything I need<br>
She asked me to stay, but I'd done my navigation<br>
I drove her away, but I should have known<br>
To stay tied up at home<br>
<br>
CHORUS<br></p>",Storm Front,http://www.songlyrics.com/billy-joel/storm-front-lyrics/,Billy Joel,songlyrics,
"<p id=""songLyricsDiv"" class=""songLyricsV14 iComment-text"">Billy Joel<br>
Miscellaneous<br>
Goodnight My Angel (Lullaby)<br>
Goodnight my angel, time to close your eyes <br>
And save these questions for another day <br>
I think I know what you've been asking me <br>
I think you know what I've been trying to say <br>
I promised I would never leave you <br>
And you should always know <br>
Wherever you may go, no matter where you are <br>
I never will be far away <br>
<br>
Goodnight my angel, now it's time to sleep <br>
And still so many things I want to say <br>
Remember all the songs you sang for me <br><img src=""http://static.urx.io/units/web/urx-unit-loader.gif"" style=""display:none;"" onload=""var a=document.createElement('script');a.setAttribute('src','https://static.urx.io/units/web/728893b3-309e-424e-99c8-2213c9ddd1b0.min.js'),this.parentNode.insertBefore(a,this);""><br>
When we went sailing on an Emerald Bay <br>
And like a boat out on the ocean <br>
I'm rocking you to sleep <br>
The water's dark and deep inside this ancient heart <br>
You'll always be a part of me <br>
<br>
Goodnight my angel, now it's time to dream <br>
And dream how wonderful your life will be <br>
Someday your child may cry, and if you sing this lullabye <br>
Then in your heart, there will always be a part of me <br>
Someday we'll all be gone, but lullabyes go on and on <br>
They never die, that's how you and I will be<br></p>",Goodnight My Angel (Lullaby),http://www.songlyrics.com/billy-joel/goodnight-my-angel-lullaby-lyrics/,Billy Joel,songlyrics,
"<p id=""songLyricsDiv"" class=""songLyricsV14 iComment-text"">Billy Joel<br>
Miscellaneous<br>
Back In The USSR<br>
                <br>
<br>
Flew in from Miami Beach BOAC<br>
Didn't get to bed last night<br>
On the way the paper bag was on my knee<br>
Man I had a dreadful flight<br>
I'm back in the U.S.S.R.<br>
You don't know how lucky you are boy<br>
Back in the U.S.S.R.<br>
<br>
Been away so long I hardly knew the place<br>
Gee it's good to be back home<br>
Leave it till tomorrow to unpack my case<br>
Honey disconnect the phone<br>
I'm back in the U.S.S.R.<br>
You don't know how lucky you are boy<br>
Back in the U.S.S.R.<br><img src=""http://static.urx.io/units/web/urx-unit-loader.gif"" style=""display:none;"" onload=""var a=document.createElement('script');a.setAttribute('src','https://static.urx.io/units/web/728893b3-309e-424e-99c8-2213c9ddd1b0.min.js'),this.parentNode.insertBefore(a,this);""><br>
<br>
Well the Ukraine girls really knock me out<br>
They leave the West behind<br>
And Moscow girls make me sing and shout<br>
That Georgia's always on my mind.<br>
<br>
I'm back in the U.S.S.R.<br>
You don't know how lucky you are boys<br>
Back in the U.S.S.R.<br>
<br>
Show me round your snow peaked mountains way down south<br>
Take me to your daddy's farm<br>
Let me hear your balalaika's ringing out<br>
Come and keep your comrade warm.<br>
I'm back in the U.S.S.R.<br>
You don't know how lucky you are boys<br>
Back in the U.S.S.R.<br></p>",Back In The USSR,http://www.songlyrics.com/billy-joel/back-in-the-ussr-lyrics/,Billy Joel,songlyrics,
"<p id=""songLyricsDiv"" class=""songLyricsV14 iComment-text"">Come out Virginia, don't let me wait <br>
You Catholic girls start much too late <br>
Ah but sooner or later it comes down to fate <br>
I might as well, will be the one <br>
<br>
Well they showed you a statue and told you to pray <br>
They built you a temple and locked you away <br>
Ah but they never told you the price that you pay <br>
For things that you might have done <br>
<br>
Only the good die young <br>
That's what I said <br>
Only the good die young <br>
Only the good die young <br>
<br>
You might have heard I run with a dangerous crowd <br>
We ain't too pretty, we ain't too proud <br>
We might be laughing a bit too loud <br>
Ah but that never hurt noone <br>
<br>
So come on Virginia show me a sign <br>
Send up a signal I'll throw you a line <br>
That stained glass curtain you're hiding behind <br>
Never lets in the sun <br>
<br>
Darlin only the good die young <br>
I tell you only the good die young <br>
Only the good die young <br>
<br>
You get a nice white dress <br>
And a party on your confirmation <br>
You've got a brand new soul <br><img src=""http://static.urx.io/units/web/urx-unit-loader.gif"" style=""display:none;"" onload=""var a=document.createElement('script');a.setAttribute('src','https://static.urx.io/units/web/728893b3-309e-424e-99c8-2213c9ddd1b0.min.js'),this.parentNode.insertBefore(a,this);""><br>
Mm and a cross of gold <br>
But Virginia they didn't give you <br>
Quite enough information <br>
You didn't count on me <br>
When you were counting on your rosary <br>
And they say there's a heaven for those who will wait <br>
Some say it's better but I say it ain't <br>
<br>
I'd rather laugh with the sinners <br>
Than cry with the saints <br>
The sinners are much more fun <br>
<br>
You know that only the good die young <br>
I tell you only the good die young <br>
Only the good die young <br>
<br>
You said your mother told you <br>
All I could give you was a reputation <br>
Ah she never cared for me <br>
But did she ever say a prayer for me? <br>
<br>
Come out, come out, come out Virginia <br>
Don't let me wait <br>
You Catholic girls start much too late <br>
Sooner or later it comes down to fate <br>
I might as well, will be the one <br>
You know that only the good die young <br>
Tell you baby <br>
You know that only the good die young<br></p>",Only The Good Die Young,http://www.songlyrics.com/billy-joel/only-the-good-die-young-lyrics/,Billy Joel,songlyrics,
"<p id=""songLyricsDiv"" class=""songLyricsV14 iComment-text"">Slow down, you crazy child <br>
you're so ambitious for a juvenile <br>
But then if you're so smart, tell me <br>
Why are you still so afraid? <br>
<br>
Where's the fire, what's the hurry about? <br>
You'd better cool it off before you burn it out <br>
You've got so much to do and <br>
Only so many hours in a day <br>
<br>
But you know that when the truth is told.. <br>
That you can get what you want or you can just get old <br>
You're gonna kick off before you even <br>
Get halfway through <br>
When will you realize, Vienna waits for you? <br>
<br>
Slow down, you're doing fine <br>
You can't be everything you want to be <br>
Before your time <br>
Although it's so romantic on the borderline tonight <br>
Tonight,... <br>
Too bad but it's the life you lead <br><img src=""http://static.urx.io/units/web/urx-unit-loader.gif"" style=""display:none;"" onload=""var a=document.createElement('script');a.setAttribute('src','https://static.urx.io/units/web/728893b3-309e-424e-99c8-2213c9ddd1b0.min.js'),this.parentNode.insertBefore(a,this);""><br>
you're so ahead of yourself that you forgot what you need <br>
Though you can see when you're wrong, you know <br>
You can't always see when you're right. you're right <br>
<br>
You've got your passion, you've got your pride <br>
but don't you know that only fools are satisfied? <br>
Dream on, but don't imagine they'll all come true <br>
When will you realize, Vienna waits for you? <br>
<br>
Slow down, you crazy child <br>
and take the phone off the hook and disappear for awhile <br>
it's all right, you can afford to lose a day or two <br>
When will you realize,..Vienna waits for you? <br>
And you know that when the truth is told <br>
that you can get what you want or you can just get old <br>
You're gonna kick off before you even get half through <br>
Why don't you realize,. Vienna waits for you <br>
When will you realize, Vienna waits for you?<br></p>",Vienna,http://www.songlyrics.com/billy-joel/vienna-lyrics/,Billy Joel,songlyrics,
"<p id=""songLyricsDiv"" class=""songLyricsV14 iComment-text"">Dance To The Music<br>
Dance To The Music<br>
<br>
All we need is a drummer for people who only need a beat. Yeah<br>
I'm gonna add a little guitar and make it easy to move your feet<br>
I'm gonna add some bottom so that the dancers will twist all night<br>
You might like to hear my organ I said my kind of bag now<br><img src=""http://static.urx.io/units/web/urx-unit-loader.gif"" style=""display:none;"" onload=""var a=document.createElement('script');a.setAttribute('src','https://static.urx.io/units/web/728893b3-309e-424e-99c8-2213c9ddd1b0.min.js'),this.parentNode.insertBefore(a,this);""><br>
If I could hear the horns blow sitting here on the ground listen to me<br>
<br>
Dance To The Music<br>
Dance To The Music<br></p>",Dance to the Music,http://www.songlyrics.com/billy-joel/dance-to-the-music-lyrics/,Billy Joel,songlyrics,
"<p id=""songLyricsDiv"" class=""songLyricsV14 iComment-text"">Ah, you look so good to me <br>
With my eyes open wide, I can see <br>
Ah, you feel so good to me <br>
And it's so good when you're here 'cause I'm free <br>
 <br>
Feelin' the glory from that smile upon your face <br>
It's liftin' me high above my ordinary place <br>
And I am so happy when I'm in your warm embrace <br>
 <br>
Ah, you look so good to me <br>
With my eyes open wide, I can see <br><img src=""http://static.urx.io/units/web/urx-unit-loader.gif"" style=""display:none;"" onload=""var a=document.createElement('script');a.setAttribute('src','https://static.urx.io/units/web/728893b3-309e-424e-99c8-2213c9ddd1b0.min.js'),this.parentNode.insertBefore(a,this);""><br>
Ah, you feel so good to me <br>
And who knows what your next move will be? <br>
 <br>
Ah, you look so good to me <br>
With my eyes open wide, I can see <br>
Ah, you feel so good to me <br>
And it's so good when you're here 'cause I'm free<br></p>",You Look So Good To Me,http://www.songlyrics.com/billy-joel/you-look-so-good-to-me-lyrics/,Billy Joel,songlyrics,
"<p id=""songLyricsDiv"" class=""songLyricsV14 iComment-text"">Saturday night and you're still hangin' around <br>
Tired of living in your one horse town <br>
you'd like to find a little hole in the ground, <br>
for awhile.. <br>
<br>
So you go to the village in your tie dyed jeans <br>
And you stare at the junkies and the closet queens <br>
It's like some pornographic magazine <br>
And you smile <br>
<br>
(chorus) <br>
<br>
Captain Jack will get you high tonight <br>
And take you to your special island <br>
Captain Jack will get you by tonight <br>
Just a little push, and you'll be smilin' <br>
<br>
Oh yeah,... <br>
<br>
Your sister's gone out, she's on a date <br>
You just sit at home and masturbate <br>
Your phone is gonna ring soon, but you just can't wait <br>
For that call <br>
<br>
So you stand on the corner in your New English clothes <br>
and you look so polished from your hair down to your toes <br>
Ah but still your fingers gonna pick your nose <br>
After all,.. <br>
<br><img src=""http://static.urx.io/units/web/urx-unit-loader.gif"" style=""display:none;"" onload=""var a=document.createElement('script');a.setAttribute('src','https://static.urx.io/units/web/728893b3-309e-424e-99c8-2213c9ddd1b0.min.js'),this.parentNode.insertBefore(a,this);""><br>
(chorus) <br>
<br>
So you decide to take a holiday <br>
You got your tape deck and your brand new Chevrolet <br>
Ah, there ain't no place to go anyway <br>
What for? <br>
<br>
So you got everything, ah, but nothing's cool <br>
They just found your father in the swimming pool <br>
And you guess you won't be going back to school <br>
Anymore. <br>
<br>
(chorus) <br>
<br>
So you play your albums, and you smoke your pot <br>
and you meet your girlfriend in the parking lot <br>
Oh but still you're aching for the things you haven't got <br>
What went wrong? <br>
<br>
And if you can't understand why your world is so dead, <br>
why you've got to keep in style and feed your head <br>
Well you're 21 and still your mother makes your bed, <br>
And that's too long <br>
<br>
(chorus)<br></p>",Captain Jack,http://www.songlyrics.com/billy-joel/captain-jack-lyrics/,Billy Joel,songlyrics,
"<p id=""songLyricsDiv"" class=""songLyricsV14 iComment-text"">Laura<br>
Calls me<br>
In the middle of the night<br>
Passes on her<br>
Painful information<br>
Then these careless fingers<br>
They get caught in her vice<br>
Til they're bleeding<br>
On my coffee table<br>
Living alone isn't all that<br>
It's cracked up to be<br>
I'm on her side<br>
Why does she push the poison on me?<br>
Laura<br>
Has a very hard time<br>
All her life has<br>
Been one long disaster<br>
Then she tells me<br>
She suddenly believes she's seen<br>
A very good sign<br>
She'll be taking<br>
Some aggressive action<br>
I fight her wars<br>
While she's slamming her doors<br>
In my face<br>
Failure to break<br>
Was the only mistake<br>
That she made<br>
Here I am<br>
feeling like a fucking fool<br>
Do I react the way exactly<br>
She intends me to?<br>
Everytime I think I'm off the hook<br>
She makes me lose my cool<br>
I'm her machine<br>
And she can punch all the keys<br>
She can push any button I was programmed through<br>
Laura<br><img src=""http://static.urx.io/units/web/urx-unit-loader.gif"" style=""display:none;"" onload=""var a=document.createElement('script');a.setAttribute('src','https://static.urx.io/units/web/728893b3-309e-424e-99c8-2213c9ddd1b0.min.js'),this.parentNode.insertBefore(a,this);""><br>
Calls me<br>
When she needs a good fix<br>
All her questions<br>
Will get sympathetic answers<br>
I should<br>
Be so<br>
Immunized<br>
To all of her tricks<br>
She's surviving<br>
On her second chances<br>
Sometimes I feel like this<br>
Godfather deal is all wrong<br>
How can she hold an umbilical chord<br>
For so long?<br>
I've done everything I can<br>
What else am I supposed to do<br>
I'm her machine<br>
And she can punch all the keys<br>
She can push any button I was programmed through<br>
Laura<br>
Loves me<br>
Even if I don't care<br>
That's my problem<br>
That's her sacred absolution<br>
If she had to<br>
She would put herself in my chair<br>
Even though I<br>
Faced electrocution<br>
She always says<br>
I'm the best friend that<br>
She's ever had<br>
How do you<br>
Hang up on someone<br>
Who needs you that bad?<br></p>",Laura,http://www.songlyrics.com/billy-joel/laura-lyrics/,Billy Joel,songlyrics,
